================================================================================
1. SUMMARY TABLE - Key columns
================================================================================
            date  starting_capital      sold    bought  remaining  portfolio_value  gain_percentage
472   2022-10-31           8164.53      0.00      0.00    8164.53         17754.68           -82.25
473   2022-11-01           8164.53      0.00      0.00    8164.53         17725.89           -82.27
474   2022-11-02           8164.53      0.00      0.00    8164.53         17915.66           -82.08
475   2022-11-03           8164.53      0.00      0.00    8164.53         18063.00           -81.94
476   2022-11-04           8164.53      0.00      0.00    8164.53         18204.30           -81.80
477   2022-11-07           8164.53   5470.14   3582.56   10052.11         18287.70           -81.71
478   2022-11-08          10052.11      0.00      0.00   10052.11         18287.70           -81.71
479   2022-11-09          10052.11      0.00      0.00   10052.11         18343.30           -81.66
480   2022-11-10          10052.11      0.00      0.00   10052.11         18184.15           -81.82
481   2022-11-11          10052.11    910.10      0.00   10962.21         18145.39           -81.85
482   2022-11-14          10962.21   3304.98   6076.74    8190.45         17137.83           -82.86
483   2022-11-15           8190.45      0.00      0.00    8190.45         17166.71           -82.83
484   2022-11-16           8190.45      0.00      0.00    8190.45         17427.23           -82.57
485   2022-11-17           8190.45      0.00      0.00    8190.45         17439.90           -82.56
486   2022-11-18           8190.45   1022.70      0.00    9213.15         17506.80           -82.49
487   2022-11-21           9213.15   3983.75   5120.55    8076.35         16324.32           -83.68
488   2022-11-22           8076.35      0.00      0.00    8076.35         15108.76           -84.89
489   2022-11-23           8076.35      0.00      0.00    8076.35         15275.86           -84.72
490   2022-11-24           8076.35      0.00      0.00    8076.35         15195.82           -84.80
491   2022-11-25           8076.35    627.75      0.00    8704.10         15190.16           -84.81
492   2022-11-28           8704.10      0.00   2470.52    6233.58         15256.82           -84.74
493   2022-11-29           6233.58      0.00      0.00    6233.58         15363.76           -84.64
494   2022-11-30           6233.58      0.00      0.00    6233.58         15185.53           -84.81
495   2022-12-01           6233.58      0.00      0.00    6233.58         15340.71           -84.66
496   2022-12-02           6233.58      0.00      0.00    6233.58         15494.76           -84.51
497   2022-12-05           6233.58   3042.70   2259.70    7016.58         15575.95           -84.42
498   2022-12-06           7016.58      0.00      0.00    7016.58         15745.96           -84.25
499   2022-12-07           7016.58      0.00      0.00    7016.58         15819.55           -84.18
500   2022-12-08           7016.58      0.00      0.00    7016.58         15859.86           -84.14
501   2022-12-09           7016.58    387.18      0.00    7403.76         15541.88           -84.46
502   2022-12-12           7403.76   1612.00   2024.65    6991.11         15664.47           -84.34
503   2022-12-13           6991.11      0.00      0.00    6991.11         15850.94           -84.15
504   2022-12-14           6991.11      0.00      0.00    6991.11         15878.56           -84.12
505   2022-12-15           6991.11      0.00      0.00    6991.11         15712.67           -84.29
506   2022-12-16           6991.11      0.00      0.00    6991.11         15535.03           -84.46
507   2022-12-19           6991.11   1500.00    278.70    8212.41         15697.29           -84.30
508   2022-12-20           8212.41      0.00      0.00    8212.41         15800.28           -84.20
509   2022-12-21           8212.41      0.00      0.00    8212.41         15398.51           -84.60
510   2022-12-22           8212.41   2604.99      0.00   10817.40         15104.26           -84.90
511   2022-12-26          10817.40   3937.89   5054.50    9700.79         14835.04           -85.16
512   2022-12-27           9700.79      0.00      0.00    9700.79         14840.09           -85.16
513   2022-12-28           9700.79      0.00      0.00    9700.79         15052.99           -84.95
514   2022-12-29           9700.79      0.00      0.00    9700.79         15006.64           -84.99
515   2022-12-30           9700.79      0.00      0.00    9700.79         15157.84           -84.84
516   2023-01-02           9700.79   2677.40   4373.55    8004.64         15072.99           -84.93
517   2023-01-03           8004.64      0.00      0.00    8004.64         15198.39           -84.80
518   2023-01-04           8004.64      0.00      0.00    8004.64         15126.14           -84.87
519   2023-01-05           8004.64      0.00      0.00    8004.64         15190.19           -84.81
520   2023-01-06           8004.64      0.00      0.00    8004.64         15133.54           -84.87
521   2023-01-09           8004.64   3500.00   3842.40    7662.24         14489.49           -85.51
522   2023-01-10           7662.24    952.94      0.00    8615.18         13390.33           -86.61
523   2023-01-11           8615.18      0.00      0.00    8615.18         13432.03           -86.57
524   2023-01-12           8615.18      0.00      0.00    8615.18         13383.53           -86.62
525   2023-01-13           8615.18      0.00      0.00    8615.18         13480.73           -86.52
526   2023-01-16           8615.18    779.40   2502.50    6892.08         13438.28           -86.56
527   2023-01-17           6892.08    713.00      0.00    7605.08         13460.58           -86.54
528   2023-01-18           7605.08      0.00      0.00    7605.08         13548.73           -86.45
529   2023-01-19           7605.08      0.00      0.00    7605.08         13634.28           -86.37
530   2023-01-20           7605.08    628.50      0.00    8233.58         13660.43           -86.34
531   2023-01-23           8233.58   3136.50   2894.80    8475.28         13682.78           -86.32
532   2023-01-24           8475.28      0.00      0.00    8475.28         13709.88           -86.29
533   2023-01-25           8475.28    811.30      0.00    9286.58         13758.38           -86.24
534   2023-01-26           9286.58      0.00      0.00    9286.58         13758.38           -86.24
535   2023-01-27           9286.58   1242.96      0.00   10529.54         13601.34           -86.40
536   2023-01-30          10529.54      0.00   3271.30    7258.24         13611.19           -86.39
537   2023-01-31           7258.24      0.00      0.00    7258.24         13748.89           -86.25
538   2023-02-01           7258.24      0.00      0.00    7258.24         13658.29           -86.34
539   2023-02-02           7258.24    853.44      0.00    8111.68         13535.08           -86.46
540   2023-02-03           8111.68   1141.62      0.00    9253.30         13449.05           -86.55
541   2023-02-06           9253.30    774.00   1722.60    8304.70         13467.55           -86.53
542   2023-02-07           8304.70    863.28      0.00    9167.98         13398.68           -86.60
543   2023-02-08           9167.98      0.00      0.00    9167.98         13476.98           -86.52
544   2023-02-09           9167.98      0.00      0.00    9167.98         13542.88           -86.46
545   2023-02-10           9167.98      0.00      0.00    9167.98         13582.33           -86.42
546   2023-02-13           9167.98   2847.92   3115.35    8900.55         13582.75           -86.42
547   2023-02-14           8900.55   1451.04      0.00   10351.59         13464.19           -86.54
548   2023-02-15          10351.59    649.38      0.00   11000.97         13510.37           -86.49
549   2023-02-16          11000.97    697.72      0.00   11698.69         13452.94           -86.55
550   2023-02-17          11698.69      0.00      0.00   11698.69         13439.54           -86.56
551   2023-02-20          11698.69      0.00   5116.30    6582.39         13494.49           -86.51
552   2023-02-21           6582.39    716.95      0.00    7299.34         13397.94           -86.60
553   2023-02-22           7299.34      0.00      0.00    7299.34         13315.64           -86.68
554   2023-02-23           7299.34      0.00      0.00    7299.34         13299.64           -86.70
555   2023-02-24           7299.34    558.45      0.00    7857.79         13379.99           -86.62
556   2023-02-27           7857.79   3281.72   2651.25    8488.26         13128.76           -86.87
557   2023-02-28           8488.26    547.08      0.00    9035.34         13077.59           -86.92
558   2023-03-01           9035.34      0.00      0.00    9035.34         13185.64           -86.81
559   2023-03-02           9035.34      0.00      0.00    9035.34         13115.29           -86.88
