Index Name,5-Year High,High Date,Current Price,% Difference from Top
NSE:NIFTY NEXT 50,77918.0,2024-09-27,66758.35,-14.32
NSE:NIFTY NONCYC CONS,18289.67,2024-09-23,14403.8,-21.25
NSE:NIFTY OIL AND GAS,13607.2,2024-09-02,11689.15,-14.1
NSE:NIFTY PHARMA,23907.9,2024-10-09,22565.35,-5.62
NSE:NIFTY PSE,11814.6,2024-08-01,10145.65,-14.13
NSE:NIFTY PSU BANK,9918.65,2026-02-26,9275.75,-6.48
NSE:NIFTY PVT BANK,29748.45,2026-02-03,27816.2,-6.5
NSE:NIFTY QLTY LV 30,19474.92,2024-09-27,16445.4,-15.56
NSE:NIFTY REALTY,1157.35,2024-06-18,740.0,-36.06
NSE:NIFTY RURAL,16396.4,2026-02-19,15421.35,-5.95
NSE:NIFTY SERV SECTOR,34549.75,2026-02-03,31489.35,-8.86
NSE:NIFTY SHARIAH 25,9449.53,2024-09-27,7694.95,-18.57
NSE:NIFTY SME EMERGE,15395.3,2025-11-24,12259.95,-20.37
NSE:NIFTY SML250 Q50,31578.03,2024-12-11,23118.3,-26.79
NSE:NIFTY SMLCAP 100,19716.2,2024-12-12,16225.6,-17.7
NSE:NIFTY SMLCAP 250,18688.3,2024-09-24,15210.35,-18.61
NSE:NIFTY SMLCAP 50,9505.5,2024-12-11,7963.9,-16.22
NSE:NIFTY TATA 25 CAP,16583.6,2024-04-12,14341.8,-13.52
NSE:NIFTY TOP 10 EW,10118.45,2025-12-23,8994.25,-11.11
NSE:NIFTY TOP 15 EW,11110.6,2026-01-05,10172.8,-8.44
NSE:NIFTY TOP 20 EW,9768.2,2026-02-03,8964.0,-8.23
NSE:NIFTY TOTAL MKT,13842.6,2024-09-27,12516.65,-9.58
NSE:NIFTY TRANS LOGIS,26459.7,2025-09-23,23941.3,-9.52
NSE:NIFTY WAVES,2114.7,2026-01-08,1814.6,-14.19
NSE:NIFTY100 ALPHA 30,21419.85,2024-09-27,17439.4,-18.58
NSE:NIFTY100 ENH ESG,5316.4,2026-01-07,4897.15,-7.89
NSE:NIFTY100 EQL WGT,35794.0,2024-09-27,32562.45,-9.03
NSE:NIFTY100 ESG,5269.85,2026-01-07,4861.65,-7.75
NSE:NIFTY100 LIQ 15,7774.6,2026-02-12,7245.4,-6.81
NSE:NIFTY100 LOWVOL30,21766.75,2024-09-27,19866.85,-8.73
NSE:NIFTY100 QUALTY30,6342.2,2024-09-27,5443.6,-14.17
NSE:NIFTY100ESGSECLDR,4416.45,2026-01-05,4022.7,-8.92
NSE:NIFTY200 ALPHA 30,29547.3,2024-08-30,24319.05,-17.69
NSE:NIFTY200 QUALTY30,23598.1,2024-09-27,19691.65,-16.55
NSE:NIFTY200 VALUE 30,16288.3,2026-02-26,15351.15,-5.75
NSE:NIFTY200MOMENTM30,38177.65,2024-09-27,29940.0,-21.58
NSE:NIFTY50 DIV POINT,277.39,2026-03-04,277.39,0.0
NSE:NIFTY50 EQL WGT,33816.2,2026-01-06,31934.25,-5.57
NSE:NIFTY50 PR 1X INV,309.6,2021-04-22,215.35,-30.44
NSE:NIFTY50 PR 2X LEV,16297.55,2024-09-27,12663.6,-22.3
NSE:NIFTY50 SHARIAH,5677.88,2024-09-27,4363.9,-23.14
NSE:NIFTY50 TR 1X INV,268.05,2021-04-22,176.05,-34.32
NSE:NIFTY50 TR 2X LEV,23715.35,2024-09-27,18990.85,-19.92
NSE:NIFTY50 USD,10859.7,2024-09-26,9171.05,-15.55
NSE:NIFTY50 VALUE 20,14731.65,2024-09-27,12617.8,-14.35
NSE:NIFTY500 EW,15349.52,2024-09-24,13180.75,-14.13
NSE:NIFTY500 LMS EQL,18838.1,2024-09-24,16815.1,-10.74
NSE:NIFTY500 MULTICAP,17112.15,2024-09-27,15361.55,-10.23
NSE:NIFTY500 SHARIAH,8238.86,2024-09-27,6626.8,-19.57
NSE:NIFTY500 VALUE 50,16997.2,2026-02-26,16092.75,-5.32
NSE:NIFTY500MOMENTM50,64566.73,2024-09-27,50041.25,-22.5
NSE:NIFTYM150MOMNTM50,68439.8,2024-12-17,59086.4,-13.67
NSE:NIFTYMS400 MQ 100,55206.95,2024-07-15,45128.0,-18.26
NSE:NIFTYSML250MQ 100,54122.04,2024-07-30,40012.55,-26.07
BSE:OILGAS,33309.54,2024-09-02,28156.57,-15.47
BSE:POWER,8795.65,2024-09-27,6690.07,-23.94
BSE:REALTY,9059.57,2024-06-18,5755.78,-36.47
BSE:SENSEX,86159.02,2025-12-01,78809.33,-8.53
BSE:SENSEX NEXT 30,42783.63,2024-09-27,39576.12,-7.5
BSE:SML250,7551.81,2024-09-16,6020.35,-20.28
BSE:SMLCAP,57827.69,2024-12-12,46825.31,-19.03
BSE:SMLSEL,8604.3,2024-09-17,7377.94,-14.25
BSE:SNSX50,27621.19,2024-09-27,25479.54,-7.75
BSE:SNXT50,89479.68,2024-09-27,81793.68,-8.59
BSE:TECK,20703.86,2024-12-13,15497.71,-25.15
BSE:TELCOM,3347.87,2024-09-02,2898.06,-13.44
BSE:UTILS,6885.23,2024-09-27,5169.39,-24.92
