======================================================================
  BACKTEST RESULTS REPORT
  Generated: 2026-02-21 14:15:51
======================================================================

[ CONFIGURATION ]
  Config Name       : momentum_config
  Start Date        : 2018-01-01
  End Date          : 2026-02-21
  Daily SL          : True
  Mid-Week Buy      : False
  Initial Capital   :      200,000.00
  Max Positions     : 15
  Risk Threshold    : 1.0
  Buffer Percent    : 0.25
  Exit Threshold    : 40.0
  SL Multiplier     : 2.0
  SL Step Percent   : 0.1
  ATR Fallback Pct   : 0.03

[ PERFORMANCE METRICS ]
  Final Portfolio   :    1,698,199.60
  Total Return      :   +1,498,199.60  (+749.10%)
  CAGR              :     +30.06%
  XIRR              :     +19.80%
  Max Drawdown      :      35.99%
  Sharpe Ratio      :       0.66
  Sortino Ratio     :       2.39
  Calmar Ratio      :       0.84

[ TRADE STATISTICS ]
  Total Trades      : 1567
  Win Rate          :      37.33%
  Profit Factor     :       1.40
  Expectancy/Trade  :    +544.54
  Avg Holding Days  :       25.1
  Winners           : 585
  Losers            : 982
  Avg Win           :       +5,158.79
  Avg Loss          :       -2,188.57
  Best Trade        : MIDWEST +231,315.70
  Worst Trade       : MODINSU -18,094.40

[ TRANSACTION COSTS ]
  Total Buy Value   :   39,241,195.68
  Total Sell Value  :   40,109,913.03
  Total Turnover    :   79,351,108.71
  ---
  Buy Side Costs    :       46,810.28
  Sell Side Costs   :       62,201.13
  Total Costs       :      109,011.41
  ---
  Brokerage         :            0.00
  STT               :       79,351.19
  GST               :          506.99
  Stamp Duty        :        5,886.19
  Cost as % Return  :       7.28%

[ CAPITAL GAINS TAX ]
  STCG Trades       : 585
  STCG Gains        :    3,017,893.48
  STCG Tax (20%)    :      603,578.68
  ---
  LTCG Trades       : 0
  LTCG Gains        :            0.00
  LTCG Tax (12.5%)  :            0.00
  ---
  Total Tax         :      603,578.68
  Total Costs+Tax   :      712,590.09
  Net Post-Tax Ret  :     +785,609.51

[ TRADE LOG ]
  Symbol                      Entry         Exit    Entry ₹     Exit ₹  Units          PnL Reason
  GMBREW                 2018-04-09   2018-04-23     694.35     663.40     24      -742.80 swap: score 70.3 → VIPIND (89.5)
  VENKEYS                2018-03-05   2018-04-27   4,049.00   3,969.00      3      -240.00 close-based stoploss sell at open on 2018-04-27
  BEPL                   2018-04-09   2018-04-30     134.95     123.84    135    -1,499.85 hard stoploss hit on 2018-04-30 (low=123.40)
  IFBAGRO                2018-04-16   2018-05-03     834.00     732.19     16    -1,628.96 hard stoploss hit on 2018-05-03 (low=730.05)
  ESTER                  2018-03-26   2018-05-07      66.00      67.15    207      +238.05 swap: score 58.7 → GKWLIMITED (89.8)
  DBL                    2018-04-09   2018-05-07   1,185.50   1,173.15     17      -209.95 swap: score 65.6 → CYIENT (89.7)
  VMART                  2018-03-12   2018-05-07     474.30     506.20     35    +1,116.50 swap: score 65.9 → KINGFA (89.6)
  MASTEK                 2018-02-05   2018-05-07     410.20     571.85     29    +4,687.85 swap: score 66.1 → ORIRAIL (89.6)
  KEI                    2018-04-09   2018-05-07     413.95     425.65     51      +596.70 swap: score 66.3 → SASKEN (89.4)
  MORGANITE              2018-03-26   2018-05-07     587.20     725.50     32    +4,425.60 swap: score 69.4 → 3BBLACKBIO (89.1)
  EXCELINDUS             2018-04-09   2018-05-11   1,054.00   1,237.75     14    +2,572.50 hard stoploss hit on 2018-05-11 (low=1212.10)
  SUDARSCHEM             2018-04-23   2018-05-14     581.90     537.00     29    -1,302.10 stoploss hit
  JUBLFOOD               2018-03-26   2018-05-15     230.00     244.10    117    +1,649.70 close-based stoploss sell at open on 2018-05-15
  SHAKTIPUMP             2018-04-16   2018-05-16     122.70     108.15    125    -1,818.75 hard stoploss hit on 2018-05-16 (low=103.15)
  BHARATRAS              2018-05-07   2018-05-17   1,608.00   1,448.00      9    -1,440.00 close-based stoploss sell at open on 2018-05-17
  ARMANFIN               2018-04-23   2018-05-18     415.00     382.74     36    -1,161.36 hard stoploss hit on 2018-05-18 (low=382.00)
  CYIENT                 2018-05-07   2018-05-21     811.10     795.75     24      -368.40 stoploss hit
  PUNJABCHEM             2018-04-30   2018-05-21     548.95     479.71     28    -1,938.72 hard stoploss hit on 2018-05-21 (low=476.00)
  VIPIND                 2018-04-23   2018-05-21     415.05     367.31     43    -2,052.82 hard stoploss hit on 2018-05-21 (low=365.10)
  LMW                    2018-05-14   2018-05-22   9,000.00   8,410.00      3    -1,770.00 close-based stoploss sell at open on 2018-05-22
  KINGFA                 2018-05-07   2018-05-22   1,210.50   1,072.00     13    -1,800.50 close-based stoploss sell at open on 2018-05-22
  PGHL                   2018-05-07   2018-05-24   2,099.00   1,904.00      8    -1,560.00 close-based stoploss sell at open on 2018-05-24
  INGERRAND              2018-05-21   2018-05-24     875.00     793.44     28    -2,283.68 hard stoploss hit on 2018-05-24 (low=620.00)
  GKWLIMITED             2018-05-07   2018-05-25     765.00     735.00     16      -480.00 close-based stoploss sell at open on 2018-05-25
  3BBLACKBIO             2018-05-07   2018-06-04     162.30     142.65     72    -1,414.80 swap: score 58.7 → TAALTECH (96.3)
  PARAGMILK              2018-05-21   2018-06-04     356.50     313.04     48    -2,086.08 hard stoploss hit on 2018-06-04 (low=307.35)
  SAREGAMA               2018-05-21   2018-06-05      78.55      71.45    243    -1,725.30 close-based stoploss sell at open on 2018-06-05
  INDSWFTLAB             2018-05-28   2018-06-05      80.00      70.50    204    -1,938.00 close-based stoploss sell at open on 2018-06-05
  KEI                    2018-05-28   2018-06-05     478.75     435.08     42    -1,834.14 hard stoploss hit on 2018-06-05 (low=371.15)
  VMART                  2018-05-28   2018-06-05     575.30     501.41     25    -1,847.25 hard stoploss hit on 2018-06-05 (low=473.80)
  WELENT                 2018-05-28   2018-06-05     195.30     172.76     88    -1,983.52 hard stoploss hit on 2018-06-05 (low=168.45)
  ORIRAIL                2018-05-07   2018-06-05     655.00     562.29     18    -1,668.78 hard stoploss hit on 2018-06-05 (low=561.35)
  KSE                    2018-05-21   2018-06-06     356.85     331.15     49    -1,259.30 close-based stoploss sell at open on 2018-06-06
  HEG                    2018-05-21   2018-06-06     686.00     576.90     24    -2,618.40 close-based stoploss sell at open on 2018-06-06
  NELCO                  2018-05-28   2018-06-06     250.00     240.51     65      -616.85 hard stoploss hit on 2018-06-06 (low=235.70)
  FSL                    2018-05-14   2018-06-19      69.50      72.45    279      +823.05 hard stoploss hit on 2018-06-19 (low=72.00)
  SASKEN                 2018-05-07   2018-06-20     902.00   1,022.00     17    +2,040.00 close-based stoploss sell at open on 2018-06-20
  FREDUN                 2018-06-11   2018-06-21     297.00     310.40     90    +1,206.00 close-based stoploss sell at open on 2018-06-21
  PERMAGN                2018-06-11   2018-06-22     112.95      95.00     95    -1,705.25 close-based stoploss sell at open on 2018-06-22
  BAJAJHLDNG             2018-06-25   2018-06-28   3,166.85   2,974.95      8    -1,535.20 close-based stoploss sell at open on 2018-06-28
  TAALTECH               2018-06-04   2018-06-28     259.00     222.42     50    -1,829.00 hard stoploss hit on 2018-06-28 (low=218.20)
  NELCO                  2018-06-11   2018-06-28     269.95     239.87     46    -1,383.68 hard stoploss hit on 2018-06-28 (low=238.35)
  BAJAJFINSV             2018-05-28   2018-06-29     608.00     587.00     43      -903.00 close-based stoploss sell at open on 2018-06-29
  KIRIINDUS              2018-06-11   2018-07-02     510.90     484.50     25      -660.00 swap: score 61.0 → PAGEIND (93.0)
  MAHLIFE                2018-06-25   2018-07-02     186.80     165.71     84    -1,771.56 hard stoploss hit on 2018-07-02 (low=160.40)
  RESPONIND              2018-06-11   2018-07-03      82.80      74.48    220    -1,830.40 hard stoploss hit on 2018-07-03 (low=74.35)
  GREAVESCOT             2018-07-02   2018-07-04     144.00     133.20    149    -1,609.20 close-based stoploss sell at open on 2018-07-04
  VIPIND                 2018-06-11   2018-07-05     434.00     411.75     37      -823.25 close-based stoploss sell at open on 2018-07-05
  SRAMSET                2018-06-11   2018-07-09     100.50      97.45    171      -521.55 score degraded to 0.0
  JUSTDIAL               2018-06-11   2018-07-09     564.50     574.90     17      +176.80 swap: score 68.7 → KIRIINDUS (89.1)
  PGHL                   2018-06-11   2018-07-13   2,366.50   2,103.77      4    -1,050.92 hard stoploss hit on 2018-07-13 (low=2091.00)
  M&M                    2018-06-11   2018-07-16     912.20     905.00     30      -216.00 swap: score 71.4 → BALKRISIND (91.9)
  VMART                  2018-07-09   2018-07-17     707.50     597.80     17    -1,864.90 close-based stoploss sell at open on 2018-07-17
  LUXIND                 2018-07-09   2018-07-17   1,947.00   1,790.25      9    -1,410.75 close-based stoploss sell at open on 2018-07-17
  GARFIBRES              2018-07-09   2018-07-19     237.75     220.61     84    -1,439.76 hard stoploss hit on 2018-07-19 (low=214.00)
  BHARATRAS              2018-07-16   2018-07-23   1,747.00   1,572.00      6    -1,050.00 stoploss hit
  BALKRISIND             2018-07-16   2018-07-30   1,179.90   1,190.20     13      +133.90 swap: score 70.0 → ADANIENT (92.0)
  ABBOTINDIA             2018-07-02   2018-07-30   7,239.00   7,551.00      2      +624.00 swap: score 70.4 → PUNJABCHEM (91.6)
  ASTRAZEN               2018-06-25   2018-07-30   1,489.00   1,501.15      8       +97.20 swap: score 70.5 → HAVELLS (90.7)
  LTIM                   2018-07-23   2018-08-06   1,764.00   1,689.10      8      -599.20 stoploss hit
  KIRIINDUS              2018-07-09   2018-08-06     578.45     578.40     18        -0.90 swap: score 69.3 → BIRLANU (89.2)
  HEG                    2018-07-09   2018-08-07     736.80     769.24     18      +583.92 hard stoploss hit on 2018-08-07 (low=751.00)
  BRITANNIA              2018-07-09   2018-08-08   3,155.50   3,115.80     11      -436.70 close-based stoploss sell at open on 2018-08-08
  CIGNITITEC             2018-06-25   2018-08-13     339.50     425.60     46    +3,960.60 stoploss hit
  RESPONIND              2018-07-23   2018-08-13      93.70      98.00     86      +369.80 swap: score 67.0 → JKPAPER (88.7)
  MAHSCOOTER             2018-07-02   2018-08-13   2,890.00   3,090.00      4      +800.00 swap: score 70.4 → VENKEYS (88.6)
  BIRLANU                2018-08-06   2018-08-13   2,348.80   2,091.98      6    -1,540.92 hard stoploss hit on 2018-08-13 (low=2090.10)
  ASIANPAINT             2018-07-23   2018-08-20   1,425.10   1,406.00     21      -401.10 swap: score 64.7 → LINCOLN (89.7)
  KILITCH                2018-08-20   2018-08-21     153.20     128.51     57    -1,407.33 hard stoploss hit on 2018-08-21 (low=126.50)
  GRAPHITE               2018-07-09   2018-08-24     957.40     997.00     15      +594.00 close-based stoploss sell at open on 2018-08-24
  JKPAPER                2018-08-13   2018-08-29     159.10     163.19     80      +327.20 hard stoploss hit on 2018-08-29 (low=162.35)
  BAJAJFINSV             2018-07-23   2018-09-03     663.10     677.00     33      +458.70 stoploss hit
  BAJFINANCE             2018-05-28   2018-09-03     212.50     271.64    125    +7,392.50 hard stoploss hit on 2018-09-03 (low=271.50)
  HAVELLS                2018-07-30   2018-09-04     624.00     670.11     29    +1,337.19 hard stoploss hit on 2018-09-04 (low=664.95)
  VENKEYS                2018-08-13   2018-09-05   3,085.00   2,621.15      3    -1,391.55 hard stoploss hit on 2018-09-05 (low=2601.00)
  ADANIENT               2018-07-30   2018-09-06     191.20     191.46     55       +14.30 hard stoploss hit on 2018-09-06 (low=135.10)
  PUNJABCHEM             2018-07-30   2018-09-10     655.30     655.00     20        -6.00 swap: score 57.4 → LTTS (90.0)
  WSTCSTPAPR             2018-08-13   2018-09-10     326.00     390.30     33    +2,121.90 swap: score 70.2 → TIMEX (89.8)
  GLOBUSSPR              2018-09-03   2018-09-11     186.00     162.26     63    -1,495.62 hard stoploss hit on 2018-09-11 (low=158.00)
  RHIM                   2018-08-06   2018-09-11     240.25     238.27     50       -99.00 hard stoploss hit on 2018-09-11 (low=235.35)
  BATAINDIA              2018-07-02   2018-09-12     862.00   1,020.55     29    +4,597.95 close-based stoploss sell at open on 2018-09-12
  STEL                   2018-09-10   2018-09-12     131.90     116.70     80    -1,216.00 close-based stoploss sell at open on 2018-09-12
  LTTS                   2018-09-10   2018-09-14   1,758.00   1,644.45     10    -1,135.50 close-based stoploss sell at open on 2018-09-14
  EXCELINDUS             2018-08-13   2018-09-17   1,650.00   1,815.65      7    +1,159.55 swap: score 64.9 → PRAJIND (90.7)
  PFIZER                 2018-09-03   2018-09-19   3,668.00   3,312.30      3    -1,067.10 close-based stoploss sell at open on 2018-09-19
  ZENSARTECH             2018-08-27   2018-09-19     323.00     304.15     42      -791.70 close-based stoploss sell at open on 2018-09-19
  NOVARTIND              2018-08-27   2018-09-21     875.00     825.00     15      -750.00 close-based stoploss sell at open on 2018-09-21
  MORGANITE              2018-09-17   2018-09-21   1,124.00     982.50     17    -2,405.50 close-based stoploss sell at open on 2018-09-21
  SASTASUNDR             2018-09-17   2018-09-21     125.40     109.28    102    -1,644.24 hard stoploss hit on 2018-09-21 (low=107.00)
  SRHHYPOLTD             2018-09-17   2018-09-21     186.05     157.93     55    -1,546.60 hard stoploss hit on 2018-09-21 (low=142.30)
  VIMTALABS              2018-09-17   2018-09-21     161.95     139.81     72    -1,594.08 hard stoploss hit on 2018-09-21 (low=131.60)
  POLYPLEX               2018-09-10   2018-09-21     641.00     575.00     26    -1,716.00 hard stoploss hit on 2018-09-21 (low=525.20)
  PRAJIND                2018-09-17   2018-09-21     108.50      96.46    143    -1,721.72 hard stoploss hit on 2018-09-21 (low=90.05)
  HIKAL                  2018-09-10   2018-09-21     194.50     169.07     63    -1,602.09 hard stoploss hit on 2018-09-21 (low=155.00)
  LINCOLN                2018-08-20   2018-09-21     261.15     265.27     47      +193.64 hard stoploss hit on 2018-09-21 (low=260.00)
  DATAMATICS             2018-09-10   2018-09-21     143.20     124.03     81    -1,552.77 hard stoploss hit on 2018-09-21 (low=104.00)
